orderId,orderDate,customerName,customerSegment,productCategory,productName,region,city,salesAmount,quantity,discount,profit,paymentMode
ORD-00001,2024-11-02,Ashok Shetty,Premium,Grocery,Pulses Mix,East,Guwahati,695.23,7,15.5,-16.69,UPI
ORD-00002,2024-09-04,Pallavi Shah,Premium,Electronics,Camera,West,Surat,65389.58,1,9,5100.39,Cash
ORD-00003,2023-08-31,Manjula Singh,Premium,Health & Beauty,Protein Powder,East,Kolkata,1220.77,1,9,400.41,Cash
ORD-00004,2024-12-09,Swati Kumar,Premium,Health & Beauty,Sunscreen,West,Surat,4228.99,2,13.7,3268.67,Card
ORD-00005,2023-08-13,Sunil Shetty,Wholesale,Books,Business Book,South,Bangalore,3741.5,4,22.3,80.82,UPI
ORD-00006,2023-11-16,Usha Kumar,Premium,Electronics,Smartphone,North,Amritsar,173302.39,2,17.6,1594.38,Cash
ORD-00007,2023-04-09,Arjun Reddy,Premium,Sports,Football,West,Pune,8140.93,1,61.924642030736365,-13362.63,Cash
ORD-00008,2024-05-26,Pooja Mishra,Premium,Furniture,Office Chair,North,Chandigarh,20181.96,2,66.17016478447502,-24563.66,Cash
ORD-00009,2023-06-11,Saritha Bose,Premium,Grocery,Wheat Flour,West,Ahmedabad,693.2,1,9.5,16.64,Cash
ORD-00010,2024-10-21,Vijay Pillai,Premium,Clothing,Jeans,West,Surat,2897.89,3,8.6,814.89,UPI
ORD-00011,2023-10-18,Asha Kaur,Regular,Home & Kitchen,Pressure Cooker,North,Lucknow,45816.82,2,1.9,9383.28,UPI
ORD-00012,2024-06-09,Pallavi Bose,Wholesale,Electronics,Router,South,Hyderabad,122711.09,4,24.4,-16164.75,UPI
ORD-00013,2024-01-07,Manoj Chauhan,Premium,Furniture,Dining Table,West,Mumbai,115623.28,3,15.8,14291.04,UPI
ORD-00014,2023-08-05,Usha Banerjee,Premium,Furniture,Shoe Rack,South,Coimbatore,32656.51,1,15.9,4010.22,Card
ORD-00015,2024-10-06,Sandeep Gupta,Premium,Sports,Cricket Bat,West,Pune,7683.07,4,71.21701483636717,-14345.96,Card
ORD-00016,2024-05-19,Divya Joshi,Regular,Sports,Treadmill,West,Mumbai,57854.91,4,14.7,9395.64,UPI
ORD-00017,2024-03-17,Kiran Gupta,Regular,Electronics,Smartphone,North,Chandigarh,6329.65,1,11.5,367.12,Cash
ORD-00018,2023-08-18,Asha Singh,Premium,Clothing,Sports Shoes,North,Lucknow,4842.22,1,6.8,1431.36,UPI
ORD-00019,2023-05-19,Sunita Mukherjee,Premium,Health & Beauty,Electric Toothbrush,West,Ahmedabad,2192.23,2,13.8,634.87,Cash
ORD-00020,2024-01-21,Kamala Shetty,Premium,Grocery,Rice (5kg),North,Amritsar,8776.42,9,14.2,-119.36,Card
ORD-00021,2023-06-28,Deepak Reddy,Premium,Home & Kitchen,Pressure Cooker,West,Surat,13284.98,3,15.3,1296.61,UPI
ORD-00022,2024-08-18,Usha Nair,Regular,Electronics,Smart TV,South,Bangalore,11944.28,3,20,-119.44,UPI
ORD-00023,2023-02-23,Latika Singh,Wholesale,Clothing,Jeans,East,Bhubaneswar,959.22,1,26.7,130.84,UPI
ORD-00024,2023-04-13,Kavya Mehta,Regular,Grocery,Wheat Flour,North,Amritsar,243.51,4,5.2,14.22,Card
ORD-00025,2023-01-23,Sandeep Agarwal,Regular,Clothing,Jacket,West,Nagpur,6194.21,1,19.6,1196.72,UPI
ORD-00026,2024-02-07,Amit Patel,Wholesale,Health & Beauty,Face Mask Pack,West,Nagpur,5759.64,2,22.7,1257.91,UPI
ORD-00027,2024-03-29,Sunil Chauhan,Wholesale,Furniture,Bookshelf,East,Bhubaneswar,38932.9,2,53.838148704607704,-43167.33,UPI
ORD-00028,2023-07-11,Shweta Kaur,Regular,Grocery,Tea Powder,South,Hyderabad,2605.59,4,11.9,12.51,Card
ORD-00029,2023-04-06,Girish Joshi,Premium,Home & Kitchen,Water Purifier,West,Ahmedabad,34105.53,3,9.3,4965.77,Cash
ORD-00030,2023-05-02,Sandeep Krishnan,Wholesale,Health & Beauty,Protein Powder,West,Surat,2638.6,1,25.5,517.17,Card
ORD-00031,2024-01-29,Saritha Shah,Wholesale,Electronics,Smartwatch,West,Mumbai,83762.63,2,19.4,-435.57,UPI
ORD-00032,2023-05-05,Aarav Ghosh,Regular,Books,Self-Help Book,East,Bhubaneswar,3685.43,2,4.9,592.62,UPI
ORD-00033,2023-05-10,Asha Iyer,Premium,Clothing,Ethnic Wear,South,Coimbatore,3681.1,3,17.6,770.09,Cash
ORD-00034,2023-03-28,Rohit Nair,Premium,Health & Beauty,Electric Toothbrush,East,Bhubaneswar,2737.15,1,8.2,915.3,Card
ORD-00035,2024-02-03,Amit Menon,Premium,Grocery,Pulses Mix,South,Coimbatore,8806.48,9,11.5,70.45,Card
ORD-00036,2024-11-13,Praveen Gupta,Premium,Health & Beauty,Perfume,West,Nagpur,188.06,1,54.14014493864137,-289.55,UPI
ORD-00037,2023-08-30,Geeta Banerjee,Premium,Clothing,T-Shirt,North,Chandigarh,7690.87,4,12.8,1904.26,Cash
ORD-00038,2023-08-09,Ananya Mehta,Premium,Books,Novel,North,Lucknow,2355.76,2,18,131.92,UPI
ORD-00039,2023-08-27,Kiran Agarwal,Wholesale,Books,Dictionary,South,Kochi,1173.04,1,28.8,-35.66,UPI
ORD-00040,2023-03-07,Praveen Pillai,Wholesale,Clothing,Formal Shirt,West,Surat,1782.65,1,27.2,236.02,UPI
ORD-00041,2023-06-05,Priya Joshi,Wholesale,Clothing,Sports Shoes,West,Nagpur,7503.76,2,27.5,975.49,UPI
ORD-00042,2024-12-13,Kamala Menon,Wholesale,Health & Beauty,Face Cream,West,Surat,14023.85,4,28.9,2367.23,UPI
ORD-00043,2024-11-12,Kiran Chatterjee,Premium,Grocery,Sugar,South,Bangalore,3162.59,10,14,-37.95,Card
ORD-00044,2023-07-19,Usha Banerjee,Regular,Grocery,Rice (5kg),East,Ranchi,8904.55,8,7,391.8,Card
ORD-00045,2024-10-06,Jyoti Tiwari,Wholesale,Sports,Cycling Helmet,South,Coimbatore,83155.28,4,17.7,32650.9,UPI
ORD-00046,2023-04-26,Shweta Krishnan,Regular,Furniture,Office Chair,South,Kochi,46293.89,1,10,7869.96,Card
ORD-00047,2024-07-28,Kavya Gupta,Premium,Grocery,Spices Kit,North,Jaipur,3000.43,7,17.6,-122.42,Card
ORD-00048,2024-04-14,Geeta Mehta,Regular,Electronics,Smartphone,West,Pune,88477.97,3,12.1,4707.03,Card
ORD-00049,2024-03-05,Ananya Chatterjee,Regular,Books,Comics,East,Patna,1357,1,5.4,212.78,Cash
ORD-00050,2023-01-24,Sunil Singh,Premium,Sports,Cycling Helmet,East,Patna,9112.23,1,5.3,2165.07,Cash
ORD-00051,2024-11-04,Mohan Krishnan,Regular,Sports,Jump Rope,South,Chennai,112390.05,3,4,62928.19,Cash
ORD-00052,2023-11-20,Manjula Reddy,Wholesale,Grocery,Rice (5kg),North,Jaipur,4645.21,3,23.8,-419.93,Cash
ORD-00053,2024-05-13,Vinod Menon,Premium,Electronics,Smart TV,South,Hyderabad,65175.92,2,11.8,3623.78,Cash
ORD-00054,2024-03-04,Kavya Mehta,Regular,Grocery,Cooking Oil,South,Kochi,1269.21,6,20,-76.15,UPI
ORD-00055,2023-06-17,Vijay Tiwari,Wholesale,Health & Beauty,Face Cream,South,Bangalore,8960.6,4,47.094473782326745,-6138.19,Card
ORD-00056,2023-06-10,Ashok Chatterjee,Regular,Sports,Jump Rope,North,Chandigarh,43046.03,2,13.9,7266.17,UPI
ORD-00057,2023-02-11,Vijay Patel,Wholesale,Health & Beauty,Essential Oils,North,Jaipur,1744.28,1,26,334.9,Card
